,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio
393,8957091,126817,,,16001.320180359146,1.415827973613308
394,9000391,126951,,,16078.673102620352,1.4105053880436973
395,9043108,127064,,,16154.984529415548,1.4050921430994745
396,9092016,127154,,,16242.355816296636,1.39852371575237
397,9138773,127271,,,16325.88446724738,1.3926486630097936
398,9178705,127315,,,16397.220654123463,1.387069308796829
399,9222932,127341,,,16476.229607768877,1.3806997601196669
400,9275513,127479,,,16570.162494729993,1.3743606418318857
401,9343520,127608,,,16691.65303016228,1.3657379659914035
402,9420017,127730,,,16828.310454970953,1.3559423512717652
403,9503176,127828,,,16976.86915386979,1.3451082038257525
404,9584269,127939,,,17121.737064376208,1.334885320935796
405,9655061,127977,,,17248.202839727604,1.325491366652163
406,9731126,128012,,,17384.088521755286,1.3154901087500048
407,9810446,128166,,,17525.789071264728,1.3064237854221918
408,9905451,128289,,,17695.509957625603,1.2951353754614503
409,10011650,128414,,,17885.228271510543,1.2826457177388342
410,10115910,128528,,,18071.482675089144,1.2705530199458082
411,10229538,128528,,,18071.482675089144,1.2705530199458082
412,10332128,128528,,,18071.482675089144,1.2705530199458082
413,10429274,128671,,,18631.289167732568,1.2337483893893286
414,10545584,128686,,,18839.07019286424,1.2202832958326442
415,10683026,128724,,,19084.60230236596,1.2049394993515885
416,10828575,129041,,,19344.6170941026,1.1916711109264146
417,10988851,129219,,,19630.94081161616,1.1759100200739825
